start_tick,channel_event,midi_note,piano_note,piano_freq,dynamic_note,tick_duration,end_tick
0,note_played,53,33,175.0,0,0.0,0.0
0,note_played,65,45,349.0,2,0.0,0.0
0,note_played,72,52,523.0,2,720.0,720.0
720,note_played,72,52,523.0,2,720.0,1440.0
1440,note_played,72,52,523.0,2,480.0,1920.0
1920,note_played,73,53,554.0,3,720.0,2640.0
2640,note_played,73,53,554.0,3,720.0,3360.0
3360,note_played,73,53,554.0,3,480.0,3840.0
3840,note_played,72,52,523.0,2,720.0,4560.0
4560,note_played,72,52,523.0,2,720.0,5280.0
5280,note_played,72,52,523.0,2,480.0,5760.0
5760,note_played,70,50,466.0,1,720.0,6480.0
6480,note_played,70,50,466.0,1,720.0,7200.0
7200,note_played,70,50,466.0,1,480.0,7680.0
7680,note_played,72,52,523.0,2,720.0,8400.0
8400,note_played,72,52,523.0,2,720.0,9120.0
9120,note_played,72,52,523.0,2,480.0,9600.0
9600,note_played,73,53,554.0,3,720.0,10320.0
10320,note_played,73,53,554.0,3,720.0,11040.0
11040,note_played,73,53,554.0,3,480.0,11520.0
11520,note_played,72,52,523.0,2,720.0,12240.0
12240,note_played,72,52,523.0,2,720.0,12960.0
12960,note_played,72,52,523.0,2,480.0,13440.0
13440,note_played,70,50,466.0,1,720.0,14160.0
14160,note_played,70,50,466.0,1,720.0,14880.0
14880,note_played,70,50,466.0,1,480.0,15360.0
16320,note_played,70,50,466.0,1,240.0,16560.0
16560,note_played,72,52,523.0,2,240.0,16800.0
16800,note_played,72,52,523.0,2,480.0,17280.0
17280,note_played,72,52,523.0,2,240.0,17520.0
17520,note_played,72,52,523.0,2,240.0,17760.0
17760,note_played,72,52,523.0,2,480.0,18240.0
18240,note_played,72,52,523.0,2,240.0,18480.0
18480,note_played,70,50,466.0,1,240.0,18720.0
18720,note_played,68,48,415.0,0,240.0,18960.0
18960,note_played,68,48,415.0,0,1200.0,20160.0
20160,note_played,70,50,466.0,1,240.0,20400.0
20400,note_played,72,52,523.0,2,240.0,20640.0
20640,note_played,72,52,523.0,2,480.0,21120.0
21120,note_played,75,55,622.0,0,240.0,21360.0
21360,note_played,73,53,554.0,3,240.0,21600.0
21600,note_played,72,52,523.0,2,480.0,22080.0
22080,note_played,72,52,523.0,2,240.0,22320.0
22320,note_played,70,50,466.0,1,240.0,22560.0
22560,note_played,68,48,415.0,0,240.0,22800.0
22800,note_played,68,48,415.0,0,240.0,23040.0
23040,note_played,65,45,349.0,2,960.0,24000.0
24000,note_played,72,52,523.0,2,240.0,24240.0
24240,note_played,72,52,523.0,2,720.0,24960.0
24960,note_played,73,53,554.0,3,960.0,25920.0
25920,note_played,72,52,523.0,2,240.0,26160.0
26160,note_played,68,48,415.0,0,720.0,26880.0
26880,note_played,73,53,554.0,3,960.0,27840.0
27840,note_played,72,52,523.0,2,240.0,28080.0
28080,note_played,68,48,415.0,0,480.0,28560.0
28560,note_played,68,48,415.0,0,240.0,28800.0
28800,note_played,70,50,466.0,1,960.0,29760.0
29760,note_played,72,52,523.0,2,240.0,30000.0
30000,note_played,70,50,466.0,1,720.0,30720.0
30720,note_played,65,45,349.0,2,960.0,31680.0
31680,note_played,70,50,466.0,1,240.0,31920.0
31920,note_played,72,52,523.0,2,240.0,32160.0
32160,note_played,72,52,523.0,2,480.0,32640.0
32640,note_played,72,52,523.0,2,480.0,33120.0
