start_tick,channel_event,midi_note,piano_note,piano_freq,dynamic_note,tick_duration,end_tick
0,note_played,52,32,165,2,96.0,96.0
96,note_played,50,30,147,1,96.0,192.0
192,note_played,48,28,131,0,96.0,288.0
288,note_played,50,30,147,1,96.0,384.0
384,note_played,52,32,165,2,96.0,480.0
480,note_played,52,32,165,2,96.0,576.0
576,note_played,52,32,165,2,96.0,672.0
768,note_played,50,30,147,1,96.0,864.0
864,note_played,50,30,147,1,96.0,960.0
960,note_played,50,30,147,1,96.0,1056.0
1152,note_played,52,32,165,2,96.0,1248.0
1248,note_played,55,35,196,3,96.0,1344.0
1344,note_played,55,35,196,3,96.0,1440.0
1536,note_played,52,32,165,2,96.0,1632.0
1632,note_played,50,30,147,1,96.0,1728.0
1728,note_played,48,28,131,0,96.0,1824.0
1824,note_played,50,30,147,1,96.0,1920.0
1920,note_played,52,32,165,2,96.0,2016.0
2016,note_played,52,32,165,2,96.0,2112.0
2112,note_played,52,32,165,2,96.0,2208.0
2304,note_played,50,30,147,1,96.0,2400.0
2400,note_played,50,30,147,1,96.0,2496.0
2496,note_played,52,32,165,2,96.0,2592.0
2592,note_played,50,30,147,1,96.0,2688.0
2688,note_played,48,28,131,0,96.0,2784.0
