time,channel_event,midi_note,piano_note,piano_freq,dynamic_note
0, Start_track,*~*,*~*,*~*,5
0, Note_on_c,52.0,32.0,165.0,4
96, Note_off_c,52.0,32.0,165.0,4
96, Note_on_c,50.0,30.0,147.0,3
192, Note_off_c,50.0,30.0,147.0,3
192, Note_on_c,48.0,28.0,131.0,2
288, Note_off_c,48.0,28.0,131.0,2
288, Note_on_c,50.0,30.0,147.0,3
384, Note_off_c,50.0,30.0,147.0,3
384, Note_on_c,52.0,32.0,165.0,4
480, Note_off_c,52.0,32.0,165.0,4
480, Note_on_c,52.0,32.0,165.0,4
576, Note_off_c,52.0,32.0,165.0,4
576, Note_on_c,52.0,32.0,165.0,4
672, Note_off_c,52.0,32.0,165.0,4
768, Note_on_c,50.0,30.0,147.0,3
864, Note_off_c,50.0,30.0,147.0,3
864, Note_on_c,50.0,30.0,147.0,3
960, Note_off_c,50.0,30.0,147.0,3
960, Note_on_c,50.0,30.0,147.0,3
1056, Note_off_c,50.0,30.0,147.0,3
1152, Note_on_c,52.0,32.0,165.0,4
1248, Note_off_c,52.0,32.0,165.0,4
1248, Note_on_c,55.0,35.0,196.0,1
1344, Note_off_c,55.0,35.0,196.0,1
1344, Note_on_c,55.0,35.0,196.0,1
1440, Note_off_c,55.0,35.0,196.0,1
1536, Note_on_c,52.0,32.0,165.0,4
1632, Note_off_c,52.0,32.0,165.0,4
1632, Note_on_c,50.0,30.0,147.0,3
1728, Note_off_c,50.0,30.0,147.0,3
1728, Note_on_c,48.0,28.0,131.0,2
1824, Note_off_c,48.0,28.0,131.0,2
1824, Note_on_c,50.0,30.0,147.0,3
1920, Note_off_c,50.0,30.0,147.0,3
1920, Note_on_c,52.0,32.0,165.0,4
2016, Note_off_c,52.0,32.0,165.0,4
2016, Note_on_c,52.0,32.0,165.0,4
2112, Note_off_c,52.0,32.0,165.0,4
2112, Note_on_c,52.0,32.0,165.0,4
2208, Note_off_c,52.0,32.0,165.0,4
2304, Note_on_c,50.0,30.0,147.0,3
2400, Note_off_c,50.0,30.0,147.0,3
2400, Note_on_c,50.0,30.0,147.0,3
2496, Note_off_c,50.0,30.0,147.0,3
2496, Note_on_c,52.0,32.0,165.0,4
2592, Note_off_c,52.0,32.0,165.0,4
2592, Note_on_c,50.0,30.0,147.0,3
2688, Note_off_c,50.0,30.0,147.0,3
2688, Note_on_c,48.0,28.0,131.0,2
2784, Note_off_c,48.0,28.0,131.0,2
2784, End_track,*~*,*~*,*~*,5
