start_tick,channel_event,midi_note,piano_note,piano_freq,dynamic_note,tick_duration,end_tick
0,note_played,50,30,147,3,1920.0,1920.0
1920,note_played,57,37,220,1,960.0,2880.0
2880,note_played,58,38,233,2,960.0,3840.0
3840,note_played,46,26,117,1,1920.0,5760.0
5760,note_played,48,28,131,2,1800.0,7560.0
7680,note_played,50,30,147,3,840.0,8520.0
8640,note_played,50,30,147,3,840.0,9480.0
9600,note_played,57,37,220,1,900.0,10500.0
10560,note_played,58,38,233,2,880.0,11440.0
11520,note_played,46,26,117,1,440.0,11960.0
12000,note_played,46,26,117,1,462.0,12462.0
12480,note_played,46,26,117,1,451.0,12931.0
12960,note_played,46,26,117,1,462.0,13422.0
13440,note_played,48,28,131,2,420.0,13860.0
13920,note_played,48,28,131,2,420.0,14340.0
14400,note_played,48,28,131,2,169.0,14569.0
14640,note_played,48,28,131,2,160.0,14800.0
14880,note_played,48,28,131,2,168.0,15048.0
15120,note_played,48,28,131,2,168.0,15288.0
15360,note_played,50,30,147,3,172.0,15532.0
15600,note_played,50,30,147,3,162.0,15762.0
15840,note_played,50,30,147,3,173.0,16013.0
16080,note_played,50,30,147,3,157.0,16237.0
16320,note_played,50,30,147,3,184.0,16504.0
16560,note_played,50,30,147,3,177.0,16737.0
16800,note_played,50,30,147,3,177.0,16977.0
17040,note_played,50,30,147,3,153.0,17193.0
17280,note_played,57,37,220,1,203.0,17483.0
17520,note_played,57,37,220,1,174.0,17694.0
17760,note_played,57,37,220,1,208.0,17968.0
18000,note_played,57,37,220,1,197.0,18197.0
18240,note_played,58,38,233,2,210.0,18450.0
18480,note_played,58,38,233,2,184.0,18664.0
18720,note_played,58,38,233,2,192.0,18912.0
18960,note_played,58,38,233,2,198.0,19158.0
19200,note_played,46,26,117,1,210.0,19410.0
19440,note_played,46,26,117,1,184.0,19624.0
19680,note_played,46,26,117,1,192.0,19872.0
19920,note_played,46,26,117,1,198.0,20118.0
20160,note_played,46,26,117,1,210.0,20370.0
20400,note_played,46,26,117,1,184.0,20584.0
20640,note_played,46,26,117,1,192.0,20832.0
20880,note_played,46,26,117,1,198.0,21078.0
21120,note_played,48,28,131,2,159.0,21279.0
21360,note_played,48,28,131,2,153.0,21513.0
21600,note_played,48,28,131,2,153.0,21753.0
21840,note_played,48,28,131,2,166.0,22006.0
22080,note_played,48,28,131,2,169.0,22249.0
22320,note_played,48,28,131,2,160.0,22480.0
22560,note_played,48,28,131,2,168.0,22728.0
22800,note_played,48,28,131,2,168.0,22968.0
23040,note_played,50,30,147,3,172.0,23212.0
23280,note_played,50,30,147,3,162.0,23442.0
23520,note_played,50,30,147,3,173.0,23693.0
23760,note_played,50,30,147,3,157.0,23917.0
24000,note_played,50,30,147,3,184.0,24184.0
24240,note_played,50,30,147,3,177.0,24417.0
24480,note_played,50,30,147,3,177.0,24657.0
